strategy,run_id,won,final_infection_pct,tokens_used,ticks_to_threshold
none,19,0,53.33,0,10
none,20,0,53.33,0,13
none,21,1,0.0,0,20
none,22,0,50.0,0,16
none,23,1,46.67,0,20
none,24,0,52.5,0,13
none,25,1,0.0,0,20
none,26,1,0.0,0,20
none,27,1,0.0,0,20
none,28,1,0.0,0,20
none,29,1,40.83,0,20
none,30,1,0.0,0,20
none,31,1,0.0,0,20
none,32,0,55.83,0,15
none,33,1,0.0,0,20
none,34,0,52.5,0,17
none,35,0,50.0,0,12
none,36,1,0.0,0,20
none,37,1,0.0,0,20
none,38,1,0.0,0,20
none,39,0,52.5,0,16
none,40,1,0.0,0,20
none,41,1,42.5,0,20
none,42,0,54.17,0,17
none,43,1,0.0,0,20
none,44,1,25.0,0,20
none,45,1,0.0,0,20
none,46,0,50.0,0,12
none,47,0,56.67,0,17
none,48,1,0.0,0,20
none,49,0,50.0,0,13
none,50,1,0.0,0,20
none,51,1,0.0,0,20
none,52,0,51.67,0,16
none,53,1,0.0,0,20
none,54,0,58.33,0,13
none,55,1,44.17,0,20
none,56,1,0.0,0,20
none,57,1,0.0,0,20
none,58,0,52.5,0,19
none,59,0,51.67,0,18
none,60,1,0.0,0,20
none,61,1,0.0,0,20
none,62,1,0.0,0,20
none,63,1,32.5,0,20
none,64,1,41.67,0,20
none,65,1,0.0,0,20
none,66,1,0.0,0,20
none,67,1,0.0,0,20
none,68,1,45.0,0,20
none,69,0,50.0,0,19
none,70,1,0.0,0,20
none,71,0,55.0,0,10
none,72,1,34.17,0,20
none,73,1,0.0,0,20
none,74,0,50.0,0,15
none,75,0,50.83,0,16
none,76,1,0.0,0,20
none,77,0,52.5,0,16
none,78,0,50.0,0,18
none,79,1,0.0,0,20
none,80,1,41.67,0,20
none,81,1,0.0,0,20
none,82,1,0.0,0,20
none,83,0,52.5,0,13
none,84,1,0.0,0,20
none,85,1,38.33,0,20
none,86,0,52.5,0,17
none,87,0,55.0,0,17
none,88,1,0.0,0,20
none,89,0,56.67,0,14
none,90,1,0.0,0,20
none,91,0,50.0,0,14
none,92,0,53.33,0,15
none,93,0,55.0,0,17
none,94,1,0.0,0,20
none,95,0,50.0,0,15
none,96,1,0.0,0,20
none,97,0,55.83,0,14
none,98,0,52.5,0,12
none,99,0,53.33,0,17
